n,bubble,insertion,selection,merge,quick,std_sort,hybrid
2,9.002e-08,7.702e-08,1.1103e-07,6.7018e-07,1.3803e-07,3.1709e-07,1.8104e-07
3,1.8105e-07,1.3303e-07,2.0705e-07,2.20657e-06,3.0908e-07,6.1016e-07,1.9905e-07
4,4.9813e-07,2.3506e-07,4.181e-07,2.34361e-06,4.1211e-07,6.4817e-07,3.1208e-07
5,5.5114e-07,3.901e-07,5.0713e-07,3.80499e-06,5.7515e-07,1.08228e-06,4.6812e-07
6,7.982e-07,3.671e-07,7.1518e-07,3.835e-06,8.6422e-07,1.19031e-06,8.5723e-07
7,9.6325e-07,4.001e-07,7.1418e-07,3.46689e-06,6.8918e-07,6.8418e-07,3.3809e-07
8,8.6623e-07,4.8412e-07,1.98952e-06,9.43045e-06,8.7422e-07,9.9925e-07,5.6114e-07
9,1.09828e-06,1.1573e-06,1.11629e-06,6.28063e-06,8.5322e-07,1.12929e-06,4.5612e-07
10,2.17657e-06,7.1818e-07,1.25833e-06,5.73249e-06,7.5819e-07,8.9024e-07,4.5311e-07
11,1.39436e-06,1.26333e-06,1.5154e-06,5.95154e-06,8.4722e-07,9.8726e-07,5.1513e-07
12,1.42937e-06,1.16331e-06,1.41636e-06,9.80355e-06,1.19731e-06,2.12655e-06,8.2922e-07
13,2.43964e-06,8.6622e-07,3.57993e-06,8.42419e-06,1.22832e-06,1.88449e-06,9.5724e-07
14,4.34813e-06,2.22658e-06,1.48538e-06,4.27011e-06,1.08828e-06,1.18131e-06,6.4417e-07
15,5.18934e-06,8.8723e-07,1.48239e-06,4.66521e-06,1.42637e-06,1.40236e-06,8.1021e-07
16,2.52466e-06,8.1221e-07,3.53791e-06,4.88926e-06,1.38336e-06,1.29934e-06,7.1819e-07
17,2.44163e-06,3.26485e-06,1.5604e-06,5.52443e-06,1.12329e-06,1.73645e-06,8.8823e-07
18,3.22383e-06,9.0924e-07,3.85e-06,5.15434e-06,1.22631e-06,1.71745e-06,8.6923e-07
19,3.54892e-06,1.35335e-06,2.62568e-06,6.68974e-06,1.5414e-06,1.89949e-06,8.9823e-07
20,4.08006e-06,1.43237e-06,3.27985e-06,1.04737e-05,2.22858e-06,2.59167e-06,1.43838e-06
21,4.50317e-06,1.29533e-06,2.64568e-06,9.44645e-06,1.9635e-06,2.16656e-06,1.09128e-06
22,4.6402e-06,1.72345e-06,3.28885e-06,7.40692e-06,1.5314e-06,2.56166e-06,1.28934e-06
23,4.03805e-06,2.65969e-06,2.97777e-06,6.62072e-06,1.5314e-06,2.48064e-06,1.34035e-06
24,5.06832e-06,2.54466e-06,2.7147e-06,7.56496e-06,1.63143e-06,2.64768e-06,1.55341e-06
25,8.66125e-06,1.28733e-06,3.20483e-06,8.71126e-06,2.2956e-06,2.80873e-06,2.38862e-06
26,6.44367e-06,2.15656e-06,7.55796e-06,1.26593e-05,2.2826e-06,3.18982e-06,1.71044e-06
27,8.31416e-06,2.36962e-06,4.73222e-06,9.73653e-06,2.13755e-06,3.37488e-06,1.72145e-06
28,8.92631e-06,1.58341e-06,3.79799e-06,9.23739e-06,2.57467e-06,2.73971e-06,2.13656e-06
29,9.47546e-06,1.72344e-06,3.86301e-06,9.92657e-06,2.17957e-06,3.11881e-06,1.83147e-06
30,2.3303e-05,3.0548e-06,8.37117e-06,1.03047e-05,2.20057e-06,4.18209e-06,3.72496e-06
31,9.01133e-06,2.48065e-06,4.54018e-06,1.08958e-05,2.39862e-06,3.69696e-06,1.96651e-06
32,1.06978e-05,1.97151e-06,4.79324e-06,1.08838e-05,2.38661e-06,3.845e-06,2.63969e-06
33,1.11089e-05,2.65169e-06,4.97129e-06,6.88128e-05,3.4919e-06,4.72823e-06,3.13981e-06
34,1.02066e-05,3.29285e-06,6.99281e-06,1.69614e-05,3.4529e-06,5.28137e-06,4.07606e-06
35,1.20131e-05,3.72696e-06,7.83704e-06,2.89615e-05,3.40688e-06,4.86527e-06,3.54692e-06
36,1.69314e-05,2.68669e-06,1.00246e-05,1.25142e-05,3.24384e-06,3.92002e-06,3.60693e-06
37,1.04557e-05,2.72371e-06,6.03657e-06,1.19321e-05,3.40288e-06,5.63647e-06,4.77423e-06
38,1.1687e-05,2.74671e-06,5.99756e-06,1.63202e-05,5.23635e-06,4.42615e-06,3.37788e-06
