n,bubble,insertion,selection,merge,quick,std_sort,hybrid
2,2.001e-08,1.6e-08,1.601e-08,1.2703e-07,2.101e-08,2.7e-08,2.501e-08
3,5.201e-08,3.801e-08,4.402e-08,4.2911e-07,5.402e-08,4.701e-08,4.701e-08
4,1.0203e-07,6.402e-08,8.302e-08,6.5718e-07,1.0502e-07,8.303e-08,6.902e-08
5,1.7705e-07,8.402e-08,1.3504e-07,6.7418e-07,1.4404e-07,1.0703e-07,9.002e-08
6,2.1606e-07,1.1603e-07,1.9506e-07,1.8675e-06,2.4306e-07,1.4504e-07,1.1903e-07
7,2.7307e-07,1.4204e-07,2.5307e-07,1.26834e-06,2.8508e-07,1.8705e-07,1.2403e-07
8,3.3309e-07,1.6305e-07,3.0608e-07,2.2456e-06,2.9308e-07,2.1706e-07,1.6704e-07
9,2.90878e-06,2.3206e-07,3.1709e-07,7.482e-07,2.8608e-07,1.8405e-07,1.4803e-07
10,5.2614e-07,2.4406e-07,4.001e-07,2.05055e-06,3.711e-07,2.5207e-07,2.0306e-07
11,1.14411e-05,1.8705e-07,1.43938e-06,1.1233e-06,3.681e-07,2.2205e-07,1.8605e-07
12,7.102e-07,2.5906e-07,5.5614e-07,2.32463e-06,4.8713e-07,2.5107e-07,2.4506e-07
13,8.5323e-07,3.1509e-07,6.3517e-07,4.1271e-06,6.1317e-07,3.5009e-07,3.2809e-07
14,9.9327e-07,2.9108e-07,7.0619e-07,4.14611e-06,6.8618e-07,3.761e-07,3.2709e-07
15,1.1463e-06,3.831e-07,8.0021e-07,4.17712e-06,7.0719e-07,3.771e-07,3.4709e-07
16,1.48639e-06,3.541e-07,8.3622e-07,3.49494e-06,2.71573e-06,4.3512e-07,3.671e-07
17,1.8485e-06,3.881e-07,9.7727e-07,4.23913e-06,1.15231e-06,6.2317e-07,3.4809e-07
18,1.4644e-06,3.771e-07,3.28688e-06,5.01034e-06,8.4223e-07,5.9016e-07,3.811e-07
19,1.68146e-06,4.6512e-07,1.04428e-06,4.27615e-06,9.3525e-07,5.1814e-07,3.651e-07
20,1.89351e-06,4.9213e-07,1.09129e-06,4.65125e-06,1.1103e-06,4.97933e-06,4.51621e-06
21,2.72373e-06,5.3714e-07,1.23633e-06,9.29149e-06,1.74547e-06,6.3317e-07,1.52511e-05
22,3.04181e-06,5.8715e-07,1.37837e-06,4.15912e-06,1.72746e-06,1.08129e-06,4.4682e-06
23,2.53568e-06,1.00527e-06,1.4814e-06,1.31355e-05,3.08182e-06,1.42939e-06,5.2214e-07
24,3.08382e-06,6.3917e-07,1.44438e-06,5.33743e-06,1.82549e-06,8.8024e-07,6.2517e-07
25,3.82602e-06,6.7918e-07,1.68145e-06,7.25094e-06,1.33536e-06,9.5126e-07,6.6217e-07
26,3.48893e-06,7.0319e-07,2.17058e-06,6.60177e-06,1.07229e-06,9.4826e-07,5.2214e-07
27,3.53795e-06,1.09329e-06,2.19359e-06,4.97033e-06,1.14931e-06,8.3422e-07,5.3014e-07
28,3.3539e-06,7.422e-07,1.53541e-06,6.42172e-06,1.43438e-06,1.05629e-06,7.692e-07
29,3.84303e-06,7.1319e-07,1.77248e-06,6.50774e-06,1.28535e-06,7.9021e-07,7.0419e-07
30,3.45692e-06,1.0943e-06,2.2416e-06,8.00315e-06,1.24833e-06,7.9721e-07,5.2514e-07
31,4.93733e-06,7.422e-07,4.72826e-06,4.04709e-06,4.69226e-06,1.90151e-06,6.2716e-07
32,6.78382e-06,1.66344e-06,2.15257e-06,8.40926e-06,1.1423e-06,1.90851e-06,5.8115e-07
33,4.30015e-06,1.52941e-06,1.72246e-06,1.18712e-05,1.07529e-06,7.692e-07,5.1214e-07
34,3.60097e-06,9.7826e-07,2.05155e-06,4.57022e-06,1.23733e-06,9.6326e-07,5.5714e-07
35,4.07009e-06,7.322e-07,2.04755e-06,4.67125e-06,1.1183e-06,7.7521e-07,5.0014e-07
36,3.66399e-06,6.7418e-07,1.95052e-06,4.97734e-06,1.17331e-06,9.7426e-07,5.0214e-07
37,3.96707e-06,8.9024e-07,1.74646e-06,4.0921e-06,1.07229e-06,7.8121e-07,5.1814e-07
38,4.17212e-06,7.5721e-07,1.81648e-06,4.24614e-06,1.07429e-06,7.8821e-07,5.3314e-07
39,4.26414e-06,9.5626e-07,1.82048e-06,5.28142e-06,1.1263e-06,1.25834e-06,5.0113e-07
40,1.34136e-05,6.5017e-07,2.44465e-06,3.75401e-06,1.1093e-06,8.3322e-07,2.12457e-06
41,4.89131e-06,6.3017e-07,2.42065e-06,5.89358e-06,1.06628e-06,8.1322e-07,6.5018e-07
42,6.07963e-06,5.9616e-07,1.4954e-06,3.11884e-06,1.10229e-06,9.1425e-07,5.9916e-07
43,4.80228e-06,1.29134e-06,4.69126e-06,5.26541e-06,1.41338e-06,1.02327e-06,1.30935e-06
44,6.00161e-06,8.0422e-07,2.00153e-06,2.67972e-06,1.14831e-06,1.1143e-06,6.6118e-07
45,5.36544e-06,7.312e-07,2.11357e-06,3.20685e-06,1.23234e-06,9.2224e-07,7.0119e-07
46,5.24841e-06,1.05228e-06,2.14458e-06,2.87177e-06,1.20432e-06,9.8826e-07,7.1119e-07
47,6.09463e-06,1.72047e-06,2.52967e-06,6.07263e-06,1.51641e-06,1.83649e-06,9.7526e-07
48,5.80556e-06,1.10429e-06,2.38664e-06,1.76577e-05,1.74747e-06,1.60943e-06,1.19932e-06
49,3.30028e-05,1.07028e-06,3.69299e-06,8.76635e-06,4.12211e-06,1.66644e-06,1.80248e-06
50,1.46999e-05,1.36737e-06,2.45366e-06,4.18812e-06,1.35236e-06,1.02028e-06,8.1021e-07
51,6.7258e-06,1.05629e-06,2.48966e-06,3.26988e-06,2.04755e-06,1.28334e-06,1.01528e-06
52,7.0929e-06,1.04228e-06,2.66071e-06,3.98707e-06,1.4964e-06,1.04928e-06,8.3823e-07
53,1.90631e-05,9.7526e-07,2.18459e-06,1.52551e-05,2.12457e-06,1.37036e-06,1.21733e-06
54,1.27514e-05,9.7327e-07,3.18685e-06,4.49321e-06,1.47439e-06,1.1053e-06,8.7923e-07
55,9.3115e-06,8.5223e-07,2.22159e-06,4.29715e-06,1.50641e-06,1.20432e-06,9.0824e-07
56,7.60503e-06,1.18932e-06,2.48667e-06,3.69699e-06,1.54441e-06,1.17031e-06,9.2825e-07
57,7.55303e-06,1.00827e-06,2.54968e-06,3.94006e-06,1.57242e-06,1.18532e-06,1.04628e-06
58,7.457e-06,1.07229e-06,2.40764e-06,3.87103e-06,1.58843e-06,1.19632e-06,9.5926e-07
59,8.37024e-06,1.0823e-06,3.3719e-06,8.49628e-06,1.91751e-06,1.42538e-06,1.19432e-06
60,1.58542e-05,9.6426e-07,2.5847e-06,4.96533e-06,1.65844e-06,1.32836e-06,1.01027e-06
61,1.1046e-05,9.9627e-07,2.59869e-06,7.41799e-06,1.70646e-06,1.29735e-06,1.04628e-06
62,1.1236e-05,1.01327e-06,2.67272e-06,4.13611e-06,1.79948e-06,1.30535e-06,1.06328e-06
63,1.10199e-05,1.03328e-06,2.82275e-06,4.4552e-06,1.90651e-06,1.34436e-06,1.07829e-06
64,9.59057e-06,1.06429e-06,2.80475e-06,4.4942e-06,1.79248e-06,1.37137e-06,1.14231e-06
65,1.05608e-05,1.90151e-06,3.742e-06,7.98714e-06,2.13958e-06,1.54641e-06,1.51741e-06
66,1.06088e-05,1.26634e-06,3.49593e-06,4.86831e-06,2.01054e-06,1.83349e-06,1.40338e-06
67,1.19722e-05,1.31635e-06,3.77902e-06,1.60153e-05,1.91751e-06,6.3417e-06,7.51802e-06
68,1.18162e-05,1.16631e-06,3.22387e-06,4.62524e-06,1.94952e-06,2.2586e-06,3.38991e-06
69,1.30385e-05,1.74347e-06,3.39091e-06,4.4762e-06,2.40664e-06,2.08756e-06,1.5034e-06
70,1.16931e-05,1.24033e-06,3.30888e-06,5.37043e-06,2.17658e-06,1.72747e-06,1.26333e-06
71,1.14221e-05,1.61043e-06,3.31689e-06,5.20639e-06,2.18259e-06,1.54541e-06,1.28835e-06
72,1.34806e-05,1.26934e-06,3.40291e-06,4.65425e-06,2.2366e-06,1.57442e-06,1.30335e-06
73,1.40018e-05,1.30735e-06,3.56395e-06,4.96433e-06,2.09156e-06,1.59243e-06,1.44439e-06
74,1.8492e-05,1.49841e-06,4.15811e-06,4.99434e-06,2.13257e-06,1.63944e-06,1.34636e-06
75,1.72556e-05,1.73546e-06,3.76601e-06,5.29342e-06,2.31462e-06,1.66045e-06,1.36636e-06
76,1.30415e-05,1.37737e-06,3.63998e-06,5.26341e-06,2.22159e-06,1.65545e-06,1.78547e-06
77,1.32826e-05,1.45039e-06,3.89404e-06,5.2244e-06,2.2216e-06,1.69545e-06,1.41938e-06
78,1.55642e-05,1.44838e-06,3.83903e-06,9.7056e-06,2.28361e-06,1.74246e-06,1.56241e-06
79,1.66114e-05,1.89451e-06,3.89704e-06,5.70453e-06,2.96479e-06,2.01354e-06,2.93579e-06
80,1.75317e-05,2.5947e-06,4.25214e-06,6.57877e-06,2.31562e-06,1.78248e-06,1.4944e-06
81,1.4931e-05,1.53541e-06,4.07109e-06,5.69553e-06,2.35663e-06,1.79848e-06,1.53041e-06
82,1.50961e-05,1.55441e-06,4.30116e-06,1.15391e-05,2.49267e-06,1.82349e-06,1.54841e-06
83,1.70606e-05,1.59843e-06,4.19513e-06,5.77755e-06,2.43265e-06,1.83749e-06,1.56142e-06
84,2.44936e-05,1.61544e-06,4.88731e-06,6.12664e-06,3.12784e-06,2.15257e-06,2.79574e-06
85,1.75677e-05,2.14657e-06,4.75227e-06,6.14665e-06,2.50467e-06,2.39264e-06,1.61243e-06
86,1.94412e-05,2.2486e-06,4.93232e-06,6.53275e-06,2.55769e-06,2.14057e-06,1.65945e-06
87,1.79168e-05,1.71946e-06,5.12637e-06,6.50375e-06,3.0138e-06,1.97653e-06,1.66544e-06
88,1.63514e-05,3.32189e-06,6.3367e-06,7.87611e-06,3.12884e-06,1.99653e-06,1.69046e-06
89,1.84599e-05,2.2366e-06,5.18139e-06,8.60231e-06,2.9748e-06,2.54568e-06,1.78048e-06
90,1.91061e-05,1.82148e-06,5.30943e-06,6.95586e-06,2.71273e-06,2.02454e-06,2.39164e-06
91,1.95582e-05,1.95852e-06,7.91713e-06,1.14401e-05,3.44092e-06,2.12557e-06,1.99353e-06
92,2.26081e-05,1.88651e-06,5.19139e-06,6.74181e-06,2.86677e-06,2.10456e-06,1.93752e-06
93,2.38744e-05,1.88751e-06,5.17839e-06,6.32669e-06,2.81576e-06,2.13357e-06,1.99554e-06
94,1.8511e-05,1.95453e-06,5.25741e-06,6.51975e-06,2.80975e-06,2.2546e-06,1.8475e-06
95,2.14207e-05,2.40364e-06,6.97687e-06,7.58504e-06,3.07882e-06,2.6167e-06,2.01754e-06
96,3.52464e-05,2.02754e-06,5.69053e-06,7.77108e-06,3.30689e-06,2.48466e-06,2.44666e-06
97,2.49237e-05,2.66372e-06,6.25167e-06,1.29375e-05,3.29188e-06,2.46867e-06,2.52067e-06
98,2.31542e-05,2.92979e-06,7.39698e-06,1.73957e-05,3.3339e-06,2.52667e-06,1.97053e-06
99,2.5994e-05,4.35217e-06,7.28895e-06,7.56703e-06,3.09583e-06,2.30862e-06,2.26461e-06
100,2.31432e-05,2.31962e-06,5.62351e-06,1.1271e-05,3.61197e-06,2.2276e-06,2.16158e-06
